Tag Counts:

Tag,Count
Untagged,66608
sv_P4,327
email,368
sv_P3,343
sv_P1,345
sv_P2,339
web,307
database,331
sv_P5,316
backup,327
monitoring,294

Port/Protocol Combination Counts:

Port,Protocol,Count
11166,tcp,1
23703,tcp,1
40121,udp,1
5141,tcp,1
9106,udp,1
49983,icmp,1
10912,tcp,3
61855,tcp,2
2886,icmp,1
54678,tcp,1
35017,udp,2
60272,tcp,5
49022,udp,2
15949,udp,1
14063,icmp,1
39707,tcp,3
48410,tcp,1
29507,icmp,1
48401,icmp,1
29066,tcp,2
29060,tcp,2
53512,udp,1
29795,tcp,1
10083,udp,2
37498,icmp,1
43487,icmp,1
62716,icmp,2
5722,tcp,2
51675,icmp,1
30739,udp,1
57457,tcp,1
41389,icmp,2
58508,tcp,1
44790,tcp,1
50441,icmp,1
4705,udp,1
62367,udp,1
21802,tcp,1
39549,icmp,2
20854,icmp,1
8010,icmp,1
19897,tcp,1
53550,icmp,2
43537,udp,1
55738,tcp,1
19843,icmp,2
5419,tcp,1
6937,tcp,1
33314,tcp,1
57621,udp,1
62670,udp,2
36959,icmp,1
27622,icmp,1
56993,udp,1
36738,icmp,2
21605,udp,1
19538,udp,2
20185,icmp,1
60086,tcp,1
28274,icmp,1
24080,tcp,1
54352,icmp,1
19691,udp,1
64201,tcp,1
29409,udp,1
2475,tcp,1
39849,tcp,1
42866,udp,2
9373,udp,1
48367,udp,1
21726,tcp,1
6963,tcp,1
8735,icmp,1
33691,udp,1
45318,udp,1
5650,tcp,1
33439,udp,1
977,icmp,2
17351,udp,2
52407,udp,2
28766,udp,1
21546,tcp,1
56838,tcp,2
10376,tcp,1
56701,icmp,2
48408,icmp,1
26487,udp,1
21127,icmp,1
22430,tcp,1
65290,icmp,2
23175,udp,2
57465,icmp,1
52348,tcp,1
10026,udp,1
26406,udp,1
18929,tcp,1
57454,tcp,2
28064,icmp,3
17813,udp,1
60401,icmp,2
33983,icmp,4
21283,icmp,1
8991,icmp,1
54912,udp,1
32523,icmp,1
60052,icmp,1
57041,icmp,1
19958,tcp,1
200,udp,1
37622,tcp,2
30241,tcp,2
25734,udp,2
35513,icmp,3
15216,tcp,1
44919,tcp,2
8926,tcp,1
19860,icmp,1
23274,udp,1
54988,icmp,1
13533,udp,2
45289,icmp,3
28389,icmp,1
28839,icmp,1
26715,udp,1
56296,tcp,3
35032,udp,2
60670,icmp,2
27378,udp,1
56938,tcp,2
34712,tcp,2
6488,udp,1
43046,icmp,1
42409,icmp,2
4254,icmp,2
60031,icmp,2
7006,icmp,1
49678,tcp,2
15619,tcp,1
16855,udp,1
2185,udp,1
63031,icmp,2
13249,icmp,1
60672,tcp,2
21032,udp,1
912,icmp,2
23459,icmp,1
13305,icmp,1
22718,icmp,1
1384,icmp,1
53554,udp,1
36940,udp,1
52542,icmp,2
31925,icmp,2
61263,icmp,1
54807,udp,1
388,icmp,1
32428,icmp,1
13166,tcp,1
38872,tcp,3
30591,tcp,1
20183,icmp,1
36644,udp,2
63799,tcp,1
64738,icmp,1
5028,tcp,2
46439,tcp,1
53542,udp,2
47619,udp,1
16136,icmp,2
49994,udp,1
30339,tcp,1
56684,tcp,2
38415,tcp,1
25421,udp,1
60865,tcp,1
18995,icmp,2
59819,udp,1
18713,tcp,2
55650,icmp,1
15479,tcp,1
2716,tcp,1
4784,icmp,3
45762,icmp,1
59962,udp,1
10223,udp,1
27304,udp,1
27687,icmp,2
9193,icmp,1
46714,icmp,1
5210,tcp,1
51138,tcp,1
59785,udp,1
5938,tcp,1
51104,icmp,1
30698,udp,3
20190,tcp,2
21270,icmp,1
45723,tcp,1
1420,icmp,2
42487,icmp,2
32929,icmp,1
40744,udp,3
10162,udp,2
25797,udp,1
36044,udp,1
19915,icmp,1
7157,tcp,1
47758,tcp,1
33224,tcp,1
21169,icmp,2
49477,udp,1
43751,tcp,1
48530,icmp,1
33889,udp,2
38402,icmp,1
29053,tcp,1
27638,icmp,1
14840,tcp,1
61160,udp,1
24472,udp,1
29555,udp,2
1736,udp,2
9875,icmp,1
37962,tcp,1
21177,tcp,1
34221,icmp,1
9125,icmp,2
34889,tcp,2
24714,icmp,2
34695,tcp,1
64921,udp,1
50531,tcp,3
46110,udp,2
50915,udp,1
27060,icmp,1
24838,tcp,2
1771,tcp,2
49095,icmp,1
28705,icmp,1
40200,tcp,2
8420,tcp,1
15304,icmp,1
57705,tcp,1
58185,icmp,3
81,tcp,1
21054,icmp,1
58651,icmp,1
29781,icmp,2
27292,tcp,1
31700,icmp,2
19337,udp,2
41877,tcp,3
9963,tcp,1
50100,udp,2
60163,udp,2
17109,tcp,1
13843,udp,3
65485,udp,1
32332,tcp,2
13106,icmp,1
601,udp,2
1606,icmp,1
7228,icmp,1
1339,icmp,1
1906,icmp,1
47588,tcp,2
46869,udp,2
25985,tcp,2
20098,tcp,1
48261,icmp,2
22395,tcp,1
17998,icmp,1
4257,tcp,1
25043,tcp,1
42939,icmp,1
25599,icmp,2
46347,tcp,1
50677,tcp,1
60738,icmp,1
62983,tcp,1
45894,udp,1
55621,icmp,1
7010,icmp,1
64117,tcp,1
17486,icmp,1
47010,udp,1
63503,tcp,2
63641,udp,2
54082,icmp,1
35840,udp,1
30654,udp,2
51873,tcp,1
52995,tcp,2
26371,tcp,1
57781,udp,2
33981,icmp,1
61003,udp,1
60491,icmp,3
49204,tcp,1
46204,tcp,1
28127,tcp,1
31049,tcp,1
33210,icmp,1
43550,udp,1
19443,udp,1
2231,tcp,2
12703,icmp,1
61818,udp,2
199,tcp,1
52645,tcp,1
48724,icmp,2
40906,udp,2
9436,udp,1
11239,udp,1
4339,icmp,2
25902,tcp,2
59523,icmp,2
50912,tcp,1
62840,icmp,2
42797,icmp,2
14624,tcp,2
19743,udp,1
53044,icmp,2
59728,icmp,1
24177,icmp,1
13372,icmp,1
7626,udp,1
22247,icmp,2
54060,tcp,1
33686,tcp,1
13570,icmp,1
50155,udp,1
58176,tcp,1
13820,udp,1
61749,icmp,1
23891,udp,3
28519,udp,1
12300,icmp,1
32620,icmp,1
30090,icmp,1
58330,icmp,3
50050,tcp,2
19983,icmp,1
47122,tcp,1
21042,icmp,1
34336,udp,1
39244,tcp,2
63926,icmp,2
2050,tcp,2
17265,icmp,1
16552,icmp,2
57255,udp,2
26732,icmp,1
20991,udp,1
62677,tcp,2
30268,tcp,1
34073,udp,1
12254,udp,2
38561,tcp,1
26810,icmp,1
34845,icmp,1
21396,udp,1
38448,tcp,1
51106,udp,1
10149,icmp,2
7101,udp,1
58381,tcp,1
61828,udp,1
57958,tcp,2
32583,icmp,1
65392,udp,2
42182,udp,1
40352,icmp,1
36650,icmp,2
18791,tcp,1
23943,udp,1
42928,tcp,2
45598,icmp,2
19664,udp,2
56752,icmp,2
27272,udp,1
40221,udp,1
488,icmp,1
19241,icmp,1
12047,udp,2
30241,udp,1
12127,udp,2
15906,tcp,1
14637,icmp,1
50844,icmp,1
40220,icmp,1
34780,icmp,2
57583,udp,1
26162,udp,1
46505,udp,1
31947,tcp,2
31972,tcp,1
4074,tcp,1
248,icmp,1
1239,udp,1
36328,icmp,2
60976,icmp,2
50690,icmp,2
16079,tcp,2
52844,udp,1
28546,tcp,1
50637,tcp,1
15242,icmp,1
51229,icmp,1
814,tcp,3
9803,icmp,1
13175,tcp,2
13169,tcp,3
8383,icmp,1
14242,udp,1
48571,icmp,2
27111,udp,1
65129,tcp,2
21046,tcp,1
45911,udp,1
42463,tcp,1
1477,udp,1
3453,tcp,2
35411,icmp,1
8,udp,1
33376,udp,2
34138,tcp,1
41415,udp,1
30246,udp,1
19463,icmp,1
19910,udp,2
46236,icmp,1
17742,icmp,2
18992,tcp,1
62304,udp,2
26929,tcp,1
50511,udp,1
27674,icmp,2
58620,icmp,1
35121,udp,1
28177,udp,1
8507,udp,1
48966,udp,2
49277,tcp,1
32842,icmp,1
8048,udp,1
52525,icmp,1
428,icmp,1
3252,tcp,1
59660,tcp,1
55156,icmp,1
20738,icmp,2
58662,tcp,2
16413,tcp,1
37287,udp,2
7425,tcp,1
43544,tcp,1
13959,udp,1
21175,tcp,1
47121,tcp,1
16839,tcp,1
23043,tcp,1
17127,tcp,1
32565,udp,1
31165,icmp,1
52780,icmp,1
6057,udp,2
36025,tcp,1
16648,icmp,2
10579,tcp,2
30902,udp,1
36448,tcp,1
7554,udp,1
45704,udp,1
48425,icmp,1
22020,icmp,2
13541,icmp,1
3360,tcp,2
291,tcp,1
63567,udp,1
40355,icmp,1
1837,icmp,1
56587,tcp,1
62486,icmp,2
44320,udp,2
11612,icmp,1
8946,tcp,1
63865,udp,1
60744,tcp,2
60231,udp,1
2100,icmp,1
15741,icmp,1
35918,tcp,1
2353,tcp,1
22538,icmp,1
42982,udp,1
46724,udp,1
44742,icmp,1
43991,icmp,1
282,icmp,1
5953,udp,2
30286,icmp,2
50287,udp,1
7481,icmp,1
42720,icmp,1
23543,icmp,1
50764,icmp,1
46798,tcp,1
55049,icmp,2
13959,tcp,1
20901,udp,1
38466,tcp,2
38000,tcp,1
53007,icmp,3
23592,udp,2
9110,tcp,1
39645,icmp,1
3271,udp,2
9288,tcp,1
42381,udp,1
36457,udp,1
18742,tcp,1
42503,udp,1
51972,icmp,2
33723,udp,1
59573,icmp,2
28310,udp,3
16676,icmp,1
18211,udp,1
3568,tcp,2
24035,icmp,2
8011,udp,1
51569,icmp,2
40152,icmp,3
7370,tcp,1
21321,udp,1
55249,tcp,1
59852,udp,1
6789,icmp,1
37570,udp,1
60764,udp,1
57398,udp,1
59874,udp,1
11070,tcp,1
64063,icmp,2
60952,tcp,1
16422,udp,2
31840,tcp,2
31615,icmp,3
60901,udp,2
14831,tcp,1
63781,icmp,1
17980,tcp,1
45486,tcp,1
47143,tcp,1
15753,udp,2
4623,udp,1
45500,icmp,1
2828,icmp,2
53912,udp,2
36058,icmp,1
32798,udp,1
34201,udp,1
26722,icmp,1
51804,tcp,2
31478,icmp,1
9974,icmp,2
32972,tcp,1
39537,tcp,1
63272,tcp,1
39970,icmp,1
41708,icmp,1
58069,udp,1
26826,tcp,1
52028,tcp,1
61513,tcp,1
20995,udp,1
22089,tcp,2
4170,udp,2
64155,icmp,1
9460,udp,1
24021,tcp,2
48246,udp,1
7889,udp,1
11604,icmp,1
33612,udp,1
42506,tcp,1
42483,udp,1
40459,udp,1
65155,tcp,2
45983,icmp,1
24610,icmp,1
35908,tcp,1
6578,udp,1
7091,tcp,1
28484,udp,1
10503,icmp,1
33750,tcp,1
61684,udp,2
29312,udp,2
47222,icmp,3
13149,udp,2
54429,icmp,1
53513,udp,2
56245,icmp,3
31703,tcp,1
25812,tcp,1
778,icmp,1
43337,tcp,1
46977,icmp,2
41888,tcp,1
62276,tcp,1
61277,tcp,1
37320,udp,1
46385,udp,1
27377,tcp,1
61120,icmp,1
24482,tcp,1
61504,icmp,1
31409,tcp,1
15009,tcp,1
52247,tcp,1
33430,udp,1
38807,icmp,4
12932,tcp,1
28697,udp,1
9174,tcp,1
31533,tcp,1
35044,udp,1
17643,udp,1
42771,tcp,1
26272,icmp,1
17121,tcp,1
65055,tcp,1
264,udp,1
32333,tcp,1
41669,tcp,2
56815,icmp,2
46565,udp,1
28724,tcp,1
28051,icmp,2
21337,udp,1
34196,tcp,1
44839,udp,1
28812,icmp,2
25402,icmp,1
1204,tcp,2
16733,tcp,1
34713,icmp,2
12827,icmp,1
51482,udp,1
6686,tcp,1
7309,udp,1
45521,icmp,1
34732,udp,1
29661,icmp,1
59656,udp,2
58735,tcp,1
32153,icmp,2
52692,icmp,1
10593,tcp,1
9146,udp,1
11530,tcp,3
35070,tcp,1
11941,tcp,1
23290,tcp,2
31440,icmp,1
35364,tcp,2
48420,icmp,1
12767,udp,1
27194,udp,1
61300,udp,1
18807,udp,1
44074,udp,1
10759,udp,1
16612,icmp,1
55584,icmp,3
20097,udp,1
10447,udp,1
10940,udp,1
47782,udp,1
53425,tcp,2
43507,udp,2
9982,icmp,3
36702,tcp,1
5589,udp,2
55851,udp,1
11831,udp,1
41277,icmp,2
15523,icmp,1
27700,tcp,1
56927,tcp,1
22416,udp,1
50965,udp,3
55329,udp,1
59072,icmp,1
56365,udp,1
1019,udp,1
28914,tcp,1
58746,icmp,1
46594,icmp,1
35413,udp,1
38280,tcp,1
63841,tcp,1
32174,udp,1
42186,icmp,2
1611,tcp,1
41369,tcp,2
35707,udp,1
38097,icmp,1
217,udp,1
42616,icmp,1
56901,icmp,1
47721,tcp,3
16830,icmp,1
44917,icmp,2
19362,tcp,2
39126,icmp,1
14980,udp,1
3815,icmp,1
58463,udp,2
56827,udp,1
58967,tcp,1
15301,tcp,3
15566,tcp,1
48171,icmp,2
59926,tcp,1
1792,tcp,2
35136,tcp,1
10914,icmp,1
10268,icmp,1
53272,udp,1
39728,udp,1
23121,tcp,1
31604,icmp,1
52688,icmp,2
14022,icmp,2
40554,tcp,1
16303,udp,1
21628,tcp,2
5383,icmp,1
38477,tcp,1
41173,icmp,1
64789,udp,1
1667,udp,3
58885,icmp,1
10354,udp,1
54541,icmp,3
12996,tcp,1
25274,icmp,1
36963,tcp,1
23556,tcp,1
40027,icmp,1
40495,tcp,2
48804,icmp,1
50691,udp,1
29715,udp,1
28826,tcp,3
14310,tcp,1
50920,tcp,1
38773,icmp,1
15286,tcp,1
43561,tcp,1
27929,udp,1
26030,udp,1
24597,tcp,1
59418,icmp,1
58255,udp,2
60696,tcp,1
37497,tcp,1
27873,tcp,1
35933,tcp,1
24065,udp,3
38681,udp,2
35329,udp,1
43678,icmp,1
27167,icmp,1
64650,udp,1
55239,udp,1
2443,icmp,1
23930,tcp,1
5292,udp,1
58012,tcp,1
35924,icmp,1
55600,tcp,1
222,tcp,1
64744,icmp,1
4341,udp,2
58772,udp,1
48605,icmp,3
14486,icmp,1
63877,icmp,1
40048,icmp,2
45456,tcp,2
34932,icmp,1
52782,tcp,1
10151,tcp,1
9628,icmp,2
45322,udp,1
47999,tcp,1
45328,icmp,1
61297,udp,1
24305,icmp,2
25830,tcp,1
36192,udp,2
24845,tcp,2
1287,udp,1
4878,tcp,1
64397,tcp,2
45286,udp,1
19215,icmp,1
34600,udp,1
40900,udp,1
53670,udp,2
48187,udp,2
52354,udp,1
46146,icmp,1
44865,tcp,1
50388,icmp,1
39109,tcp,1
32706,tcp,1
61562,udp,2
8590,udp,1
1355,icmp,2
55575,udp,2
3438,udp,1
2954,icmp,2
44465,tcp,1
30175,udp,1
47454,icmp,2
32341,tcp,1
18527,icmp,1
16517,tcp,2
41000,tcp,1
50091,tcp,1
58818,udp,1
36487,icmp,1
50685,tcp,2
49497,udp,1
42291,icmp,1
8458,icmp,1
64009,icmp,1
55344,udp,1
62713,tcp,2
34898,icmp,1
26054,tcp,1
13581,udp,1
5110,udp,1
45242,tcp,1
58217,tcp,1
63139,tcp,1
57483,tcp,1
14488,icmp,1
48094,tcp,2
9918,icmp,1
55108,udp,1
49149,icmp,1
56652,udp,2
39334,tcp,1
62121,udp,1
31748,udp,1
12142,udp,1
59565,tcp,1
59406,icmp,1
12668,icmp,2
4021,icmp,1
10081,icmp,1
27759,udp,3
57706,udp,1
57547,udp,2
32267,tcp,1
54122,icmp,1
43500,icmp,2
3381,udp,1
31026,tcp,1
31515,icmp,1
45858,udp,1
27515,icmp,1
40583,tcp,1
63501,tcp,2
52526,udp,1
27048,icmp,1
8829,icmp,1
36000,icmp,1
10957,udp,1
36784,icmp,1
48568,tcp,1
15314,udp,1
17305,udp,1
54248,udp,1
56205,icmp,2
30792,tcp,1
57698,icmp,1
23739,udp,1
46173,udp,1
28093,tcp,2
39191,icmp,2
15169,udp,1
10769,icmp,1
40058,icmp,1
64913,udp,2
47145,udp,1
5793,tcp,1
5902,udp,2
6719,icmp,1
50681,udp,1
61226,tcp,2
36960,icmp,1
43036,icmp,1
8984,udp,1
20794,udp,1
52797,icmp,1
30015,tcp,2
6464,icmp,1
28780,tcp,1
35678,icmp,2
50708,udp,1
18603,udp,1
47286,udp,2
17784,udp,2
64531,udp,1
43763,icmp,2
23578,udp,2
18097,icmp,1
10123,udp,1
26742,udp,1
60972,udp,1
20158,icmp,1
22694,icmp,2
26491,udp,2
60746,tcp,1
19856,icmp,1
12796,icmp,1
23611,icmp,1
10760,tcp,1
13731,tcp,2
45375,udp,2
19364,udp,1
22416,tcp,1
39232,icmp,1
31978,icmp,2
50938,tcp,1
996,udp,1
55800,icmp,1
38927,udp,1
59539,icmp,1
62289,icmp,3
63938,tcp,1
56829,udp,2
6967,icmp,1
53786,udp,2
55732,tcp,1
49486,tcp,1
11283,icmp,1
5309,udp,2
29112,icmp,1
19177,udp,2
40486,udp,1
33362,tcp,3
43577,tcp,2
45880,tcp,2
21461,icmp,1
4645,tcp,1
28094,tcp,1
39782,icmp,1
21177,udp,1
7243,icmp,1
39766,tcp,1
34404,udp,1
46871,udp,1
742,icmp,1
48812,udp,2
13420,tcp,1
61818,tcp,1
10727,tcp,2
23479,icmp,1
64410,udp,1
10151,icmp,1
50320,icmp,2
3037,udp,1
11374,tcp,1
62893,tcp,1
22016,udp,1
23680,icmp,2
39963,tcp,1
39595,tcp,1
16173,icmp,1
5726,udp,1
57937,tcp,1
42110,icmp,1
13230,udp,1
59670,icmp,3
1793,icmp,1
64877,udp,1
10219,tcp,2
41686,tcp,2
3884,tcp,1
43392,udp,1
1629,udp,1
23007,icmp,1
49754,udp,1
35776,udp,1
20840,icmp,2
48049,icmp,1
42363,icmp,1
30589,icmp,1
53296,icmp,1
4849,tcp,1
57712,udp,1
59261,icmp,2
11125,tcp,1
32271,tcp,1
53373,icmp,2
12527,tcp,2
51914,icmp,3
55622,tcp,1
1229,tcp,1
17653,udp,1
32024,udp,1
46907,tcp,1
17814,icmp,2
8635,udp,1
15973,udp,1
38199,icmp,1
527,udp,2
16132,icmp,2
45597,udp,1
52988,udp,2
59469,udp,1
11621,icmp,1
3211,tcp,1
13078,icmp,1
41762,tcp,1
65431,udp,2
40380,tcp,2
14098,icmp,1
18641,udp,1
260,udp,1
11625,icmp,1
39457,tcp,3
55976,icmp,1
40245,icmp,3
21609,tcp,2
6379,tcp,3
30220,udp,4
56998,udp,1
28414,tcp,1
49279,udp,1
40323,tcp,1
36175,tcp,1
65486,tcp,1
33047,tcp,1
52465,icmp,2
50539,icmp,1
53638,udp,1
34300,udp,1
16662,tcp,1
23894,tcp,2
37208,icmp,1
30252,icmp,2
31949,icmp,2
12569,tcp,2
62041,tcp,1
8726,icmp,1
14179,udp,1
36478,tcp,1
39561,icmp,2
37164,tcp,1
37992,udp,1
43657,tcp,1
34913,udp,1
25874,icmp,1
64231,tcp,2
42931,icmp,2
24572,udp,1
6479,udp,1
58210,tcp,1
58996,udp,2
49096,tcp,2
27748,udp,2
12763,tcp,1
60310,tcp,2
45835,udp,2
