# data generated for lookup table

dstport,protocol,tag
42840,tcp,web
51008,Udp,email
9290,icMP,sv_P5
20409,UDP,backup
8773,udP,database
47585,icMp,sv_P5
47442,ICmp,sv_P1
58763,tCP,email
28479,icmP,database
54953,tcp,sv_P3
64477,tCp,monitoring
60146,icMP,sv_P4
62481,tCP,sv_P5
2994,Tcp,monitoring
32096,Udp,sv_P5
45681,icmp,email
4789,icmP,sv_P1
21027,Tcp,monitoring
16020,udP,database
44,Tcp,email
10186,TCp,monitoring
21641,tCp,web
23302,udp,monitoring
19915,uDp,database
47086,UDp,sv_P1
14150,UDp,web
57608,tCP,database
37455,iCmp,sv_P3
25388,icmp,sv_P3
24170,Tcp,backup
59149,Udp,email
25560,tCp,monitoring
54482,UDP,monitoring
45511,TCP,monitoring
5735,TcP,sv_P1
23484,ICmP,database
50956,ICMP,email
49737,ICmP,monitoring
7271,ICMP,sv_P4
1764,ICMP,sv_P4
13480,uDp,monitoring
20864,UDp,sv_P1
36884,TCP,sv_P3
59762,tcP,database
64005,ICMp,sv_P3
64989,udp,web
52790,TCP,monitoring
21517,IcmP,sv_P5
20449,TcP,monitoring
18849,uDp,monitoring
56827,UDp,sv_P5
54344,ICmp,sv_P2
37225,iCMP,sv_P5
37887,udP,sv_P4
59901,ICMP,sv_P1
27490,tCP,sv_P4
6120,TCp,email
57646,UDp,sv_P4
12610,TcP,email
42068,iCmp,database
32569,icMP,web
36540,iCMP,sv_P4
37499,UdP,monitoring
63519,Udp,monitoring
11214,iCMp,sv_P1
27452,UDp,database
12224,IcmP,monitoring
18332,icMp,sv_P3
48552,Udp,sv_P1
42692,iCMp,backup
55405,tCP,sv_P2
50954,TCP,monitoring
40545,ICmp,backup
13542,Icmp,sv_P4
35346,udp,sv_P1
46420,icMP,backup
57646,iCmp,sv_P3
35033,iCmp,monitoring
30940,UDP,web
64053,icMP,sv_P4
40947,iCmp,database
43438,Udp,backup
10808,udp,sv_P4
54697,uDp,sv_P4
30465,TCP,sv_P2
51411,Udp,sv_P5
46862,icMP,database
50380,TCp,sv_P1
26273,uDp,sv_P1
1494,IcMP,backup
52708,tCp,backup
21476,icmp,sv_P2
65485,udP,email
24984,TcP,email
13838,tcP,sv_P2
54645,icMp,sv_P4
13820,tCp,database
42001,uDp,database
23992,udp,sv_P1
39639,udp,sv_P5
59905,ICMP,database
13254,udp,monitoring
3900,uDp,sv_P3
39183,Icmp,web
43115,tcp,monitoring
31851,iCMp,web
41568,Tcp,monitoring
29054,icmP,sv_P1
28676,iCmp,database
18068,UdP,backup
27897,Tcp,email
63700,Tcp,sv_P3
16422,IcMp,monitoring
55836,IcMp,email
58252,iCMP,sv_P4
9637,IcMp,email
1556,TCP,sv_P1
27391,tcp,sv_P3
39615,IcMp,sv_P5
64666,TCp,sv_P4
48194,TCP,web
6433,TcP,sv_P3
23392,icMp,database
40050,IcMP,web
32046,udp,sv_P3
49157,icmP,web
21558,ICmP,backup
16165,Udp,backup
58295,iCMP,monitoring
45364,uDp,email
48787,iCmP,email
37256,tcp,email
44275,TcP,database
56094,UDP,sv_P5
17328,udp,sv_P5
38162,udP,monitoring
16221,iCmP,sv_P2
49739,ICMP,web
15575,Tcp,backup
20171,Tcp,sv_P4
15345,IcMp,web
54374,icMP,backup
8735,ICmp,database
16256,TCp,sv_P3
47920,Icmp,email
4098,icMp,sv_P1
32844,IcMP,sv_P5
62601,ICmP,backup
11611,udP,database
13931,TCp,sv_P1
22589,iCMP,email
55897,TCP,database
39126,IcMP,monitoring
55419,TcP,database
29730,ICMP,sv_P1
23274,UDP,database
62878,Udp,database
40994,iCmP,sv_P4
51200,TCP,web
19564,UDP,sv_P1
48551,uDp,backup
29658,UDp,database
64382,TCP,backup
20031,tcp,email
60375,TCp,email
63670,UDP,sv_P2
20134,iCmp,web
61533,uDp,database
49777,UDp,monitoring
50984,Udp,web
15308,IcMp,sv_P5
41810,iCMp,sv_P3
18806,TCp,web
42767,tcp,monitoring
37710,udP,sv_P3
48280,ICMp,sv_P4
28046,TCp,sv_P3
39874,tCp,monitoring
29675,icMP,sv_P1
64739,iCmp,sv_P3
49478,Icmp,sv_P5
56615,IcMp,sv_P2
39706,tcP,sv_P2
35649,UDP,backup
51595,tcp,web
5693,tCP,backup
11896,Icmp,web
55247,icMP,backup
47341,IcMP,sv_P4
44253,IcmP,sv_P2
12249,uDp,sv_P4
3097,Tcp,database
8948,UdP,sv_P1
29391,UdP,monitoring
45779,TCp,sv_P2
45667,Icmp,database
37718,icMp,sv_P5
57556,udp,monitoring
19182,Udp,backup
9678,iCMp,monitoring
56274,uDp,backup
9063,TcP,sv_P5
5361,UDp,sv_P4
43749,udp,monitoring
53128,udp,database
40883,TCp,sv_P3
13073,tCP,database
16459,ICmp,backup
34855,iCMP,sv_P1
21890,UdP,backup
64569,UDP,database
33782,Icmp,sv_P2
25400,UDP,backup
27574,UDP,email
64439,tCP,sv_P2
47913,TCP,sv_P3
45298,TCP,sv_P1
11116,TcP,monitoring
15534,iCmP,monitoring
16094,tcP,database
6012,Udp,sv_P4
7487,ICmp,backup
39417,Icmp,sv_P5
4232,UDP,sv_P5
43655,udP,sv_P4
35605,TcP,database
31580,iCmP,database
47730,uDP,web
46039,UdP,sv_P2
15838,tCP,database
14541,TCP,sv_P2
33971,Tcp,database
25392,UDP,web
53515,ICmP,sv_P1
55068,udP,sv_P2
36235,tcP,backup
36311,uDP,web
26908,uDp,email
12820,tCp,monitoring
12958,Icmp,backup
56434,iCMp,sv_P3
25989,Icmp,sv_P1
61066,Icmp,web
17042,TCP,sv_P1
46558,tcP,sv_P1
22052,ICMP,sv_P3
15516,udp,web
55263,iCmP,sv_P5
32256,tcp,sv_P4
64342,IcMp,web
30818,tCP,sv_P3
13659,tCP,email
36514,tCp,database
12278,tcP,sv_P5
27425,TcP,sv_P3
63862,iCMp,database
4184,uDp,email
38636,TCP,sv_P3
37813,TCP,backup
47808,ICmP,sv_P5
42055,uDP,sv_P4
6815,UDp,database
63863,UDp,web
4082,Udp,monitoring
46390,iCmP,web
46069,iCMp,sv_P2
37666,IcMp,email
4706,TcP,monitoring
7473,tcp,web
21686,TCP,sv_P2
8987,iCMP,web
28910,TCp,sv_P1
59324,udp,sv_P5
7901,uDp,web
46024,tCP,sv_P2
61959,IcMp,email
33678,tCP,email
29376,IcmP,email
4292,UDP,web
33596,TCP,web
13437,tcp,monitoring
37756,uDp,email
34093,icMP,sv_P1
52077,iCmP,sv_P2
6185,tcP,backup
42845,uDp,sv_P5
62404,TCP,sv_P4
5900,UDP,database
43107,ICMp,web
48228,TCp,sv_P3
59231,tCP,sv_P5
46691,Tcp,sv_P3
7030,tCP,sv_P4
17455,Tcp,backup
23608,TCP,sv_P5
44041,iCMP,sv_P3
43230,TCp,web
10392,icMP,sv_P1
19327,TCp,sv_P1
26025,Tcp,monitoring
42963,udP,sv_P1
1568,ICmp,backup
28932,IcmP,web
65087,iCMP,sv_P5
30742,TCp,email
42293,Tcp,sv_P5
14789,Tcp,backup
33079,ICmp,monitoring
65197,Icmp,sv_P5
12905,UDP,sv_P3
9373,tCp,email
2668,UDp,sv_P2
42224,tCp,sv_P4
41620,Udp,sv_P5
30994,uDP,database
54625,UDP,sv_P4
21109,UdP,email
47187,TCP,database
48068,UDP,sv_P5
1594,iCMp,backup
15167,udp,backup
35217,tcp,backup
11800,tCp,monitoring
42325,tcp,sv_P3
4137,TCP,sv_P2
3151,uDp,email
35576,iCmp,sv_P4
55745,udP,sv_P1
60556,udp,sv_P1
12241,TcP,database
41605,UDP,sv_P1
52651,udP,database
38374,UdP,database
3582,udp,sv_P1
42266,TcP,sv_P2
64146,UDp,sv_P2
36309,ICmP,web
28986,TCp,backup
34657,UDP,web
52136,udp,database
58599,TCP,sv_P1
51859,ICMp,monitoring
37852,ICmP,email
7155,Tcp,monitoring
27896,tcp,email
26703,ICMp,backup
62042,udP,monitoring
38176,iCmp,sv_P5
5291,tCP,backup
4449,uDP,sv_P2
61991,uDp,backup
56859,ICmp,sv_P4
42042,ICmp,backup
19934,udp,sv_P1
8883,Udp,web
48568,uDp,sv_P1
64304,tcp,web
57092,TCP,sv_P2
53837,TcP,sv_P4
47741,iCMp,database
5648,iCmp,email
29872,tCp,database
48765,udp,email
46287,TCP,database
14908,TcP,sv_P1
24388,IcMp,sv_P2
59839,Tcp,sv_P5
8796,UDp,monitoring
27963,tcp,web
41150,iCMp,sv_P4
64105,UDP,sv_P2
39465,udP,sv_P4
38168,tcP,web
23631,tCp,sv_P5
47028,uDp,email
65020,tCp,sv_P1
158,uDp,sv_P3
19274,tCP,sv_P4
63079,TCP,backup
28438,udP,database
34415,tcp,web
45052,UDP,sv_P5
14219,UDP,monitoring
33516,tCp,backup
19523,udp,web
29286,IcMP,database
18682,ICmP,monitoring
25515,TCp,sv_P1
50247,uDP,web
51628,udP,backup
43396,UDp,backup
9761,ICMP,email
63058,UDp,backup
13628,tCp,sv_P4
41532,TCP,sv_P2
42358,icmP,sv_P3
65431,tcP,backup
6999,tCP,sv_P2
19393,ICMP,database
17922,uDp,database
52091,UdP,sv_P5
14922,udp,monitoring
29839,ICMp,sv_P4
32063,tcp,email
28947,UDP,email
45419,TcP,backup
34335,iCmP,database
7771,uDP,sv_P1
9808,UDP,web
46635,TcP,database
45387,icmP,monitoring
65229,tCP,sv_P4
34660,tCP,email
48737,tCp,database
6560,udP,sv_P3
4608,TCp,backup
43935,ICmP,monitoring
60946,udp,sv_P2
56748,tCp,sv_P4
46619,Icmp,web
12755,TCP,web
55771,uDP,web
15819,tcp,sv_P2
42772,ICmP,web
38132,icMp,database
15113,Icmp,sv_P4
46635,tcP,monitoring
52753,UdP,sv_P5
40062,IcMP,sv_P3
37183,iCmP,sv_P3
59925,TCP,backup
64178,IcmP,web
60601,Udp,sv_P3
64470,UDp,database
48155,tCp,monitoring
61648,tCp,database
30945,IcmP,sv_P3
4018,Udp,backup
21869,ICmp,sv_P4
41607,UDp,email
41001,udP,database
51006,uDp,sv_P2
14762,tCP,sv_P1
17036,ICmP,sv_P4
19553,uDP,sv_P2
58705,tcP,sv_P1
35462,tcp,sv_P4
26716,tCP,sv_P5
46721,UdP,database
60975,UdP,sv_P2
4129,iCMp,sv_P5
50738,uDP,sv_P4
28142,Udp,email
16509,udp,database
28585,ICmP,database
39899,icmp,sv_P5
4498,tCp,sv_P3
10553,UdP,sv_P2
45643,IcmP,sv_P5
25851,udp,web
15493,UDP,database
40854,UDp,web
64802,Udp,backup
6815,ICMP,monitoring
13531,ICMp,sv_P1
9170,Udp,monitoring
29598,ICmp,sv_P2
27155,icMP,monitoring
52806,ICmp,sv_P4
14253,UDP,sv_P4
53710,iCMP,monitoring
48317,icMP,sv_P3
3748,uDP,backup
48210,tcp,database
39615,TCp,database
54786,icMp,sv_P2
39022,tCP,monitoring
52946,udP,sv_P5
12900,Udp,backup
29507,ICmp,sv_P1
1901,iCmp,email
6072,TcP,sv_P5
29208,IcmP,sv_P4
52381,tcp,monitoring
20801,Tcp,monitoring
39087,tCp,backup
45577,ICMP,email
55298,tcP,sv_P2
5243,Udp,sv_P4
50272,tCp,sv_P2
55008,iCmP,sv_P3
40723,tcP,backup
32209,ICmp,sv_P2
45232,UdP,monitoring
45554,IcMP,sv_P5
48726,icmP,sv_P3
63824,UDP,sv_P5
21005,tcP,email
53494,udP,sv_P4
64089,UdP,email
11573,iCmP,sv_P3
62704,Udp,sv_P3
36446,Udp,monitoring
49754,icmp,sv_P5
53274,Udp,email
44224,udp,sv_P4
7194,tCP,sv_P3
55046,tCP,email
20847,Icmp,sv_P3
17687,UDp,backup
27243,uDp,sv_P1
22641,UdP,sv_P3
15604,UDp,email
42277,uDP,sv_P1
45985,tcP,sv_P5
8824,TCP,sv_P5
25679,TCP,backup
55149,iCMP,web
11474,UDP,monitoring
19406,tcp,email
62399,ICmP,sv_P4
22881,ICmP,sv_P1
41504,iCMP,sv_P4
42394,uDp,database
41422,icmP,sv_P2
56665,UDp,email
34163,Icmp,sv_P4
12701,udp,email
20142,IcmP,sv_P5
63158,uDP,sv_P1
63344,IcmP,backup
1624,UDp,sv_P5
38777,iCMp,web
2,ICMP,sv_P1
696,tcP,backup
51901,Tcp,backup
11123,udP,web
57442,uDp,database
64424,TCp,sv_P1
43855,uDp,database
29449,iCMP,sv_P5
10222,tcP,sv_P1
56912,UDp,database
13093,tcp,sv_P2
5374,iCMP,sv_P1
44906,tcP,sv_P5
12305,Udp,sv_P2
44004,udP,monitoring
16078,tCp,sv_P5
61455,TCp,sv_P1
32422,tCp,sv_P1
20581,ICMp,database
34743,IcmP,sv_P2
65146,udp,backup
33125,uDP,sv_P5
34960,UDP,sv_P5
49091,tcp,monitoring
46229,IcmP,sv_P4
49308,UDP,backup
54506,Udp,backup
3563,tcp,monitoring
40477,UDP,web
8541,ICmP,monitoring
57890,UdP,email
55877,TCP,email
15619,udP,sv_P3
49268,uDp,sv_P4
994,UDP,database
40192,udP,sv_P4
48779,TCp,web
31608,icmp,sv_P4
62983,IcMP,monitoring
55116,udp,sv_P4
41048,ICmP,sv_P1
666,udp,monitoring
38831,tCp,web
23622,Udp,sv_P5
5410,ICMp,sv_P3
10122,iCmp,sv_P1
26463,ICMP,sv_P2
44163,tCP,database
41665,IcMP,sv_P4
14890,tcp,database
48370,uDp,backup
15203,Icmp,sv_P2
28353,IcmP,sv_P1
34734,TCP,sv_P4
47287,TcP,sv_P4
25271,TCP,web
12793,uDp,sv_P3
43793,tCP,sv_P1
4097,tcP,database
20766,Udp,sv_P2
44714,tCP,monitoring
57613,TCP,database
59607,uDp,sv_P2
15263,tcp,sv_P3
28559,UdP,email
25924,iCMp,sv_P2
18148,tcP,backup
59385,UDP,sv_P1
41715,tCp,web
34605,TCp,backup
44738,uDp,backup
18559,icmP,database
2900,udP,database
31953,tcp,database
42718,udp,backup
7048,uDP,web
10908,tcp,monitoring
42198,UDP,email
7800,udP,web
56346,uDP,sv_P3
24805,iCMP,sv_P2
28347,Tcp,sv_P2
56114,ICMp,email
58627,udP,web
15628,iCMP,sv_P2
603,UDp,monitoring
7558,ICmP,sv_P3
52170,iCMp,backup
7317,Tcp,sv_P4
55144,tcP,backup
2777,IcMp,sv_P4
8830,icMP,sv_P5
11713,uDP,email
28893,ICMP,database
8877,tcp,email
30196,UDp,email
58253,UDp,email
45262,TCP,sv_P1
55310,tCP,sv_P2
6902,tcp,web
4391,tcp,database
58617,tCP,sv_P5
4973,TcP,sv_P3
27277,tCP,sv_P2
42926,tcp,sv_P4
32681,ICmp,backup
54307,IcmP,sv_P3
33636,Tcp,backup
1165,icmp,sv_P5
13862,tcP,sv_P2
33314,IcmP,monitoring
59019,iCMP,backup
15766,tCP,monitoring
31960,UDP,monitoring
43990,UDp,monitoring
65514,ICMP,web
45433,TCp,database
63848,tcp,email
19031,iCMp,email
23903,Tcp,sv_P3
39859,iCMP,sv_P5
4655,icmP,backup
19299,IcmP,sv_P5
45780,tCp,monitoring
19072,tCp,sv_P3
23663,IcMP,monitoring
64681,TCp,database
58578,TcP,sv_P5
25281,Icmp,sv_P4
34798,iCmp,backup
38655,tcP,monitoring
61244,Icmp,email
16893,TCp,backup
15949,ICMp,database
64932,UdP,sv_P4
50174,UDp,database
45945,udp,web
58532,TcP,sv_P4
63679,iCmp,database
62538,IcMP,sv_P2
65148,TCP,monitoring
31361,Tcp,sv_P3
26889,tcP,sv_P4
23988,uDP,sv_P2
50157,UDP,email
62286,TCP,sv_P5
30712,UdP,web
20215,iCMp,backup
50089,iCmP,monitoring
28963,TcP,sv_P3
33168,ICMP,sv_P2
36110,icMp,backup
32895,tcP,sv_P2
52609,tcP,sv_P3
52233,Tcp,sv_P4
36177,tcp,sv_P4
18790,iCmp,backup
32209,udP,sv_P2
25106,iCMp,database
60918,tCp,monitoring
34933,uDP,email
55374,ICmP,sv_P3
14865,UDp,email
36208,UDP,sv_P3
33486,tCp,web
57881,UDP,web
49175,tcP,email
45602,tcP,database
4876,iCmP,sv_P5
50708,TcP,web
20375,TCP,sv_P4
13313,uDp,sv_P1
30670,UdP,sv_P5
2576,tCP,sv_P4
59945,Tcp,email
11742,TCP,sv_P5
36390,UDp,email
6173,UdP,sv_P1
38793,udp,sv_P1
30447,TcP,sv_P1
59266,uDp,sv_P3
26773,iCmP,web
17508,Icmp,email
12293,Udp,sv_P3
40589,ICmp,email
10161,IcmP,web
7847,ICMp,monitoring
44148,uDp,email
54954,TCp,sv_P4
35920,Udp,sv_P3
44528,TCP,sv_P2
52303,TCp,web
20565,UDp,email
16721,Udp,sv_P1
29709,UDP,sv_P3
60152,iCmP,email
62374,iCMP,backup
35498,UdP,sv_P3
50717,udp,email
19091,icmP,sv_P2
30610,ICmP,monitoring
61847,uDp,sv_P2
1359,tcP,sv_P5
45390,IcMP,email
10805,TCP,sv_P2
58614,tCp,backup
59652,tCp,email
27972,tCp,sv_P2
4438,uDp,sv_P5
11691,ICmp,sv_P5
8018,UdP,email
12281,tCP,sv_P3
3224,ICmP,sv_P1
35986,udP,email
20031,TcP,sv_P3
31325,TCP,sv_P1
21825,iCmP,sv_P1
39099,UDP,sv_P5
53396,icMp,backup
12107,tCP,email
495,ICmp,email
20016,Tcp,database
2858,tCP,sv_P3
49462,ICmp,monitoring
59491,UdP,web
35414,TCP,sv_P1
64953,UdP,email
2434,TCp,backup
22924,icMp,sv_P2
50779,tCP,backup
33752,udP,email
50881,ICmp,sv_P2
5364,TCp,sv_P3
16123,tCp,sv_P2
16089,ICMP,sv_P1
49010,ICMP,backup
18415,icmp,web
56809,TcP,backup
26322,iCmP,sv_P4
22811,tcP,monitoring
56122,tcP,backup
17033,udp,sv_P4
15900,Udp,monitoring
18726,ICMP,sv_P2
43841,udP,sv_P1
22453,Udp,sv_P1
40195,tcP,sv_P5
21060,Tcp,sv_P3
12558,Icmp,sv_P5
61458,TCP,sv_P4
6825,tcP,monitoring
6510,TCp,database
7701,tCp,web
47691,tcP,sv_P1
42790,tcP,monitoring
17043,Tcp,backup
43415,TCp,sv_P5
55697,icMP,database
22965,Udp,sv_P1
1736,udp,email
5512,ICmp,database
51266,tCP,sv_P3
17478,icmP,sv_P3
30326,tCP,sv_P5
56801,tCP,sv_P2
56207,iCmp,backup
3519,Tcp,sv_P3
3438,TCp,sv_P2
43550,icMP,sv_P4
55958,tCP,database
1439,TCP,sv_P2
56706,UDp,web
28256,UdP,sv_P5
13792,tCp,monitoring
64399,iCmP,database
48362,udP,sv_P5
6818,UDp,sv_P3
16363,icMP,sv_P1
5082,uDP,sv_P2
27183,IcMP,sv_P5
5938,Tcp,email
33111,IcMP,database
11727,Icmp,sv_P4
2577,TCp,database
10582,IcMp,sv_P5
29572,udp,sv_P5
20679,iCmp,monitoring
18367,tcp,database
56266,tcp,database
5198,tcp,database
11660,uDp,sv_P4
4639,UdP,web
20499,uDp,email
18053,udP,sv_P4
45540,UDp,web
9445,tcP,sv_P4
13148,IcMP,sv_P1
34458,ICMp,email
33020,udp,web
9014,uDP,backup
50877,UdP,database
16649,iCmP,sv_P3
11787,tCP,sv_P2
64150,icmP,backup
52803,UDp,sv_P4
48658,icmp,sv_P1
17278,iCmp,sv_P3
51068,UDp,sv_P4
19380,icMP,backup
30936,TCp,sv_P1
3691,tcp,backup
9922,UdP,sv_P5
13772,TCP,sv_P2
18478,iCmP,sv_P2
44100,UDp,backup
36759,UDP,sv_P2
31570,iCMp,sv_P5
57336,udP,database
31308,udp,monitoring
65321,uDP,database
54305,tCP,sv_P4
50103,iCmp,sv_P5
25249,TCp,monitoring
48066,icMP,sv_P1
5187,Tcp,sv_P5
58789,udp,sv_P5
20447,udp,sv_P4
16233,Icmp,sv_P2
57521,TCP,backup
53727,ICmp,web
12330,iCMp,backup
2398,icMp,web
48879,tcP,web
58319,uDp,sv_P4
39659,UdP,sv_P1
7729,UdP,sv_P1
39891,ICMp,sv_P4
16084,UdP,database
57517,Udp,backup
36723,TCp,database
27194,Udp,sv_P1
52235,Tcp,sv_P4
18064,uDp,sv_P4
57286,TCp,monitoring
36814,tCp,backup
20758,tcp,sv_P3
31226,uDp,sv_P5
4082,uDP,email
61154,TCP,sv_P1
48130,udp,sv_P3
38943,udp,database
63253,UDp,sv_P4
33095,iCMp,sv_P4
63331,Udp,database
61796,icmp,email
48643,tCp,sv_P1
41864,TcP,web
22700,icMP,web
26947,uDp,sv_P1
46410,UdP,email
43778,iCmp,email
35355,Udp,email
58149,UDP,sv_P1
27930,UDP,monitoring
33393,tCP,sv_P2
6800,tcp,sv_P1
26934,uDp,sv_P2
9895,icMp,backup
23730,TcP,sv_P2
4672,UdP,sv_P2
38261,TcP,sv_P4
43231,icmp,email
50162,udP,backup
43115,TCp,sv_P5
32016,uDp,database
31938,TCp,sv_P2
7537,UdP,sv_P1
37757,UDP,backup
57159,tcp,web
8896,iCMp,monitoring
9787,icMp,monitoring
18663,tCp,sv_P2
28365,udP,backup
50791,ICMP,sv_P3
50974,tCP,sv_P4
26252,udp,web
61509,ICmP,monitoring
34987,TCP,backup
40957,tcp,email
43688,Tcp,database
2763,IcMp,sv_P2
41974,tCp,sv_P4
24432,udp,sv_P4
48894,TCP,sv_P4
61069,IcmP,backup
52549,iCmP,web
28894,TcP,sv_P3
4661,tCp,backup
40647,UdP,backup
7011,tCp,backup
22831,ICmP,sv_P3
48593,tcP,database
46921,tCp,email
30369,TCP,database
25562,ICmp,sv_P5
16836,uDP,web
23655,icmP,sv_P5
4895,ICmP,monitoring
11515,tCP,web
26107,UDP,database
31266,uDp,sv_P5
7269,Icmp,sv_P5
65185,TCP,sv_P1
40707,TcP,sv_P1
14301,UdP,sv_P4
33144,udp,monitoring
12155,Tcp,database
11963,tCp,database
56395,TCp,sv_P1
40455,icMp,sv_P1
40632,UDp,sv_P1
13550,tCp,email
27676,ICmp,sv_P3
1821,udP,monitoring
24575,tCP,monitoring
23683,UDp,database
1060,IcMP,backup
62479,TCp,backup
7158,TCp,sv_P4
18160,iCMp,backup
534,uDp,sv_P5
63082,udP,sv_P3
8500,tCp,sv_P3
18158,tcp,web
37771,Udp,sv_P4
64954,uDp,database
24788,tCp,sv_P3
3505,Icmp,backup
20007,Icmp,web
45011,icmp,sv_P1
13523,IcmP,web
57563,uDp,database
14801,iCMp,backup
432,iCmP,sv_P4
30072,TcP,sv_P3
17978,udP,database
2648,udP,email
26853,Udp,sv_P5
6344,iCMp,email
28363,ICMP,monitoring
61738,ICMp,sv_P3
49547,TcP,sv_P5
12538,udp,sv_P3
18525,icmP,database
28173,Tcp,sv_P1
23538,icMP,backup
59636,udp,sv_P3
19393,tCP,sv_P4
21576,icMp,web
49066,iCMP,backup
12924,ICMp,backup
16301,Udp,sv_P3
42380,tCp,sv_P2
58625,Udp,sv_P1
51954,uDP,sv_P1
40112,uDP,sv_P4
60839,TCp,database
8870,TCP,sv_P1
13231,Tcp,sv_P3
4918,UdP,web
49913,TcP,sv_P3
53470,icMp,sv_P3
54859,UdP,email
45012,ICmp,sv_P3
49776,Udp,database
32785,UDP,sv_P5
54276,TCp,sv_P5
36434,ICmP,web
39459,tcp,web
26977,tCP,sv_P4
32695,tcP,sv_P2
14084,udp,sv_P5
64581,udP,sv_P1
63679,tcp,sv_P3
50248,tCP,monitoring
10569,ICMp,monitoring
60461,icMp,sv_P5
15882,IcmP,email
14971,uDP,sv_P2
35969,Tcp,database
15395,uDp,sv_P4
37399,tcp,email
56405,uDp,backup
55139,Tcp,sv_P2
21026,Icmp,sv_P5
19069,tcP,email
40073,iCmp,monitoring
3256,TCp,monitoring
26231,Tcp,sv_P1
42568,UDp,sv_P2
47620,iCmP,monitoring
53742,IcmP,sv_P4
4453,iCmp,sv_P1
20859,UdP,web
15115,udp,sv_P3
3047,tcp,backup
53045,tCp,backup
47161,TcP,sv_P1
56444,Udp,sv_P5
43166,ICmP,sv_P4
44684,Udp,sv_P1
21566,UDp,sv_P5
59080,TcP,sv_P2
25695,Udp,backup
11801,UdP,backup
32379,TCP,sv_P3
42648,TcP,sv_P1
6999,tCP,sv_P2
26299,IcmP,database
43475,iCmP,backup
5156,iCmP,monitoring
29432,iCMP,sv_P2
33467,tcP,backup
26255,icMp,backup
29091,TCp,database
47727,uDP,sv_P2
63274,icmp,sv_P5
56425,uDp,web
41102,UDp,backup
20358,uDP,email
58054,Icmp,sv_P5
11228,iCmp,backup
61045,uDP,sv_P5
43687,TCP,backup
63982,TCp,sv_P1
40317,ICMP,sv_P1
63501,uDp,monitoring
63692,icMP,monitoring
49256,tCP,sv_P1
7132,tcP,sv_P2
56862,iCMP,web
57156,TcP,sv_P4
18217,ICmP,email
64313,Tcp,monitoring
38054,icmp,web
45580,tCP,monitoring
14787,IcMP,monitoring
49980,tCP,sv_P5
61860,TCp,sv_P5
1512,uDp,sv_P4
